Id,Label,type,budget,zip,interestPercentage
R000479,Handelsverband Deutschland - HDE - e. V.,Wirtschaftsverband oder Gewerbeverband/-verein,7240000.0,10117.0,0.0923076923076923
R002101,ZVEI e. V. - Verband der Elektro- und Digitalindustrie,Wirtschaftsverband oder Gewerbeverband/-verein,4920000.0,60528.0,0.1016949152542373
R001795,Wirtschaftsrat der CDU e.V.,Berufsverband,4770000.0,10117.0,0.0833333333333333
R000672,Bitkom e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,4080000.0,10117.0,0.0842105263157894
R001784,Axel Springer SE,Unternehmen,3150000.0,10888.0,0.1538461538461538
R001794,Google Germany GmbH,Unternehmen,3010000.0,20354.0,0.1944444444444444
R000969,Huawei Technologies Deutschland GmbH,Unternehmen,2280000.0,40549.0,0.2941176470588235
R002214,Reporter ohne Grenzen (RSF Germany; RSF Deutschland),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",1950000.0,10756.0,0.1818181818181818
R002164,ING-DiBa AG,Unternehmen,1450000.0,60486.0,0.2
R001732,Vodafone GmbH,Unternehmen,1380000.0,40549.0,0.2413793103448276
R001842,IBM Deutschland GmbH,Unternehmen,1270000.0,71139.0,0.2272727272727272
R002238,Meta Platforms Ireland Limited,Unternehmen,1020000.0,,0.3529411764705882
R001238,Vitako Bundes-Arbeitsgemeinschaft der Kommunalen IT-Dienstleister e. V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",980000.0,10117.0,0.4166666666666667
R003411,SCHUFA Holding AG,Unternehmen,940000.0,65201.0,0.2
R001801,Infineon Technologies AG,Unternehmen,800000.0,85579.0,0.25
R000798,DIN Deutsches Institut für Normung e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",760000.0,10787.0,0.0952380952380952
R001943,1&1 AG,Unternehmen,700000.0,56410.0,0.1923076923076923
R000912,Bundesverband Musikindustrie e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,700000.0,10115.0,0.2
R000747,Bundesverband E-Commerce und Versandhandel Deutschland e.V. (bevh),Wirtschaftsverband oder Gewerbeverband/-verein,650000.0,10117.0,0.1153846153846153
R002222,Deutsche Wohnen SE,Unternehmen,650000.0,14197.0,0.2
R002246,Verband der Auslandsbanken in Deutschland e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,650000.0,60311.0,0.1538461538461538
R002359,Apple Inc.,Unternehmen,620000.0,,0.25
R002737,eco - Verband der Internetwirtschaft e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,600000.0,10117.0,0.1
R003007,United Parcel Service Deutschland S.à r.l. & Co. OHG,Unternehmen,600000.0,41460.0,0.1538461538461538
R002043,Qualcomm CDMA Technologies GmbH,Unternehmen,600000.0,81671.0,0.2068965517241379
R003675,Deutscher Musikrat,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",550000.0,10117.0,0.0
R002065,Börsenverein des Deutschen Buchhandels e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,500000.0,60311.0,0.1538461538461538
R001443,ProSiebenSat.1 Media SE,Unternehmen,490000.0,85774.0,0.2068965517241379
R002215,BREKO Bundesverband Breitbandkommunikation e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,490000.0,53113.0,0.16
R002709,Verband der Anbieter von Telekommunikations- und Mehrwertdiensten (VATM) e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,470000.0,10117.0,0.4
R000973,Rohde & Schwarz GmbH & Co. KG ,Unternehmen,450000.0,81671.0,0.2666666666666666
R000328,Wirtschaftsforum der SPD e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,420000.0,10117.0,0.0851063829787234
R001607,freenet AG,Unternehmen,380000.0,22297.0,0.3076923076923077
R001225,Booking.com B.V. ,Unternehmen,380000.0,,0.1785714285714285
R005046,CRIF GmbH,Unternehmen,380000.0,80807.0,0.1875
R003869,Gesellschaft für musikalische Aufführungs- und mechanische Vervielfältigungsrechte (GEMA),,380000.0,10787.0,0.217391304347826
R001450,TikTok Germany GmbH,Unternehmen,340000.0,10245.0,0.5555555555555556
R003474,Thorn,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",330000.0,,0.25
R000773,Giesecke+Devrient GmbH,Unternehmen,330000.0,81677.0,0.2105263157894736
R001391,RTL Deutschland,Unternehmen,320000.0,50679.0,0.1538461538461538
R001798,innn.it e.V: ,"Nichtstaatliche Organisation (Nichtregierungsorganisation, Plattform oder Netzwerk)",320000.0,10117.0,0.25
R001439,Dell GmbH (Dell Technologies) ,Unternehmen,320000.0,60549.0,0.2068965517241379
R001392,Grüner Wirtschaftsdialog e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,300000.0,10117.0,0.0614035087719298
R001729,Vodafone Institut für Gesellschaft und Kommunikation GmbH,Unternehmen,300000.0,40549.0,0.25
R005433,Warner Bros. Entertainment GmbH,Unternehmen,300000.0,22083.0,0.2083333333333333
R003319,United Technologies EU,Unternehmen,300000.0,,0.1666666666666666
R003476,Fujitsu Technology Solutions,Unternehmen,300000.0,80807.0,0.6666666666666666
R001345,Software AG,Unternehmen,290000.0,64242.0,0.3636363636363636
R002231,ANGA Der Breitbandverband e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,290000.0,50672.0,0.7142857142857143
R001930,Verband der Filmverleiher e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,290000.0,10178.0,0.5
R001576,NXP Semiconductors Germany GmbH,Unternehmen,290000.0,22529.0,0.1818181818181818
R001180,HP Deutschland GmbH,Unternehmen,290000.0,71034.0,0.2222222222222222
R002746,Canon Deutschland GmbH,Unternehmen,280000.0,47807.0,0.2777777777777778
R002001,Bertelsmann SE & Co. KGaA,Unternehmen,280000.0,33311.0,0.1764705882352941
R001762,Doctolib GmbH,Unternehmen,270000.0,10961.0,0.2
R002230,Thalia Bücher GmbH,Unternehmen,270000.0,58099.0,0.2
R002994,Nokia Solutions and Networks GmbH & Co.KG,Unternehmen,270000.0,81541.0,0.6666666666666666
R000613,Deutsches Aktieninstitut e. V.,Berufsverband,250000.0,60325.0,0.0833333333333333
R003404,Initiative D21 e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",250000.0,10117.0,0.0
R002467,Deutsche Glasfaser Management,Unternehmen,250000.0,40468.0,0.3333333333333333
R001150,Verband Deutscher Zeitschriftenverleger e.V. - in Liquidation -  ,Arbeitgeberverband,250000.0,10969.0,0.238095238095238
R002603,Bundesverband Audiovisuelle Medien e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,240000.0,20459.0,0.5
R001920,DocMorris N.V.,Unternehmen,230000.0,,0.3846153846153846
R001932,United Internet AG,Unternehmen,220000.0,56410.0,0.2142857142857142
R002881,VMware Gobal Inc. Zweigniederlassung Deutschland ,Unternehmen,220000.0,81829.0,0.238095238095238
R001878,BWI GmbH,Unternehmen,210000.0,53340.0,0.2777777777777778
R000257,Bundesverband Digitale Wirtschaft (BVDW) e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,200000.0,10117.0,0.2941176470588235
R003231,Nect GmbH,Unternehmen,200000.0,20457.0,0.4
R002729,trivago N.V.,Unternehmen,190000.0,40221.0,0.2631578947368421
R003454,Service-now.com GmbH,Unternehmen,180000.0,80335.0,0.5
R000457,Bundesverband Gesundheits-IT,Wirtschaftsverband oder Gewerbeverband/-verein,180000.0,10117.0,0.2
R001102,Ericsson GmbH,Unternehmen,180000.0,40549.0,0.375
R002499,Verband unabhängiger Musikunternehmer*innen,Wirtschaftsverband oder Gewerbeverband/-verein,170000.0,10623.0,0.1818181818181818
R003908,Vereinigung Baden-Württembergische Wertpapierbörse e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",170000.0,70174.0,0.1739130434782608
R003939,IServ GmbH,Unternehmen,170000.0,38104.0,0.2941176470588235
R002328,EWE TEL GmbH,Unternehmen,170000.0,26133.0,0.8
R001859,Dropbox Germany GmbH,Unternehmen,160000.0,20457.0,0.3571428571428571
R003342,PDV GmbH,Unternehmen,160000.0,99097.0,0.4
R001759,Delivery Hero SE,Unternehmen,150000.0,10117.0,0.1724137931034483
R004367,Selbstregulierung Informationswirtschaft e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",150000.0,10963.0,0.4
R002206,American Express Services Europe Limited,Unternehmen,150000.0,60486.0,0.2
R003310,LEONARDO Germany GmbH,Unternehmen,150000.0,41470.0,0.2
R003383,Autodesk GmbH,Unternehmen,150000.0,81541.0,0.1578947368421052
R001160,ALM - Akkreditierte Labore in der Medizin e.V.,Berufsverband,140000.0,10115.0,0.1666666666666666
R003005,Zalando ,Unternehmen,140000.0,10243.0,0.2352941176470588
R002009,eBay GmbH,Unternehmen,140000.0,14532.0,0.2692307692307692
R001275,Salesforce.com Germany GmbH,Unternehmen,140000.0,80636.0,0.1944444444444444
R002353,LinkedIn Germany GmbH,Unternehmen,140000.0,80331.0,0.2
R001925,1&1 Mail & Media Applications SE,Unternehmen,130000.0,56410.0,0.24
R002997,Snap Camera GmbH,Unternehmen,130000.0,20457.0,0.5
R002338,"BSA Business Software Alliance, Inc. d/b/a BSA | The Software Alliance",Wirtschaftsverband oder Gewerbeverband/-verein,130000.0,,0.2307692307692307
R004052,"Match Group Holdings I, LLC",Unternehmen,130000.0,,0.2857142857142857
R003054,Ubisoft Blue Byte GmbH,Unternehmen,130000.0,40235.0,0.25
R003924,M-net Telekommunikations GmbH,Unternehmen,130000.0,80807.0,0.1891891891891892
R000052,Kaspersky Labs GmbH,Unternehmen,120000.0,85055.0,0.3333333333333333
R004158,SUSE Software Solutions GmbH,Unternehmen,120000.0,90409.0,0.6666666666666666
R001364,Uber Germany GmbH,Unternehmen,120000.0,10179.0,0.1666666666666666
R004267,,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",120000.0,,0.3
R002303,OOONO A/S,Unternehmen,110000.0,,0.1666666666666666
R000972,Rohde & Schwarz Vertriebs-GmbH,Unternehmen,110000.0,81671.0,0.2307692307692307
R003144,Discovery Communications Deutschland GmbH & Co KG,Unternehmen,110000.0,80538.0,0.28
R001363,Uber B.V.,Unternehmen,110000.0,,0.2
R001935,1&1 Versatel GmbH,Unternehmen,100000.0,40468.0,0.2307692307692307
R000977,Xempus AG,Unternehmen,100000.0,80636.0,0.1538461538461538
R001564,American Chamber of Commerce in Germany e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,100000.0,10117.0,0.1521739130434782
R003217,Global Public Policy Institute e.V.,"Wissenschaft, Denkfabrik, Forschungseinrichtung oder Hochschule",100000.0,10117.0,0.2
R000992,LEONINE Holding GmbH,Unternehmen,100000.0,80807.0,0.1666666666666666
R001195,atene KOM GmbH,Unternehmen,100000.0,10115.0,0.6666666666666666
R002174,Zoom Video Communications Germany GmbH,Unternehmen,100000.0,50672.0,0.4
R000088,BUGLAS Bundesverband Glasfaseranschluss e. V.,Berufsverband,100000.0,53113.0,0.1666666666666666
R001673,Netflix Services Germany GmbH,Unternehmen,100000.0,10117.0,0.1612903225806451
R003121,eBay Kleinanzeigen GmbH,Unternehmen,100000.0,14532.0,0.1794871794871795
R002405,Intel Germany GmbH & Co. KG,Unternehmen,100000.0,85579.0,0.4285714285714285
R002157,@-yet GmbH,Unternehmen,90000.0,42799.0,0.2352941176470588
R001317,Open Source Business Alliance - Bundesverband für digitale Souveränität e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,90000.0,10117.0,0.35
R001120,S-Public Services GmbH,Unternehmen,90000.0,70565.0,0.1666666666666666
R002790,Verband der Vereine Creditreform e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,90000.0,41460.0,0.1739130434782608
R002217,Springer Nature Group,Unternehmen,90000.0,14197.0,0.5
R001542,BdKom (Bundesverband der Kommunikatoren),Berufsverband,90000.0,10117.0,0.1935483870967742
R002114,OptiMedis AG,Unternehmen,90000.0,20095.0,0.2307692307692307
R000469,Adobe Systems GmbH,Unternehmen,90000.0,80992.0,0.2666666666666666
R002509,Spitzenorganisation der Filmwirtschaft e. V. (SPIO),Wirtschaftsverband oder Gewerbeverband/-verein,90000.0,10623.0,0.1785714285714285
R004867,,Privatperson,90000.0,,0.2
R002771,PAYBACK GmbH,Unternehmen,90000.0,80339.0,0.3333333333333333
R002930,OneFiber Interconnect Germany GmbH,Unternehmen,90000.0,66606.0,0.6
R003186,Mehr Demokratie,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",80000.0,10450.0,0.1666666666666666
R002965,Twitter Germany GmbH,Unternehmen,80000.0,10117.0,0.4285714285714285
R001882,ORACLE Deutschland B.V. & Co. KG,Unternehmen,80000.0,80992.0,0.1818181818181818
R002111,Bundesverband Deutsche Startups e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,80000.0,10117.0,0.1724137931034483
R000995,Freiwillige Selbstkontrolle Unterhaltungssoftware GmbH,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",80000.0,10119.0,0.2857142857142857
R003955,Bundesverband IT-Mittelstand e.V. (BITMi),Wirtschaftsverband oder Gewerbeverband/-verein,80000.0,52076.0,0.1666666666666666
R000841,Berufsverband der Datenschutzbeauftragten Deutschlands (BvD) e.V.,Berufsverband,70000.0,10787.0,0.2727272727272727
R003841,INFODAS GmbH,Unternehmen,70000.0,50765.0,0.3636363636363636
R001526,Franz Cornelsen Bildungsholding GmbH & Co. KG,Unternehmen,70000.0,14197.0,0.1590909090909091
R004057,Hewlett-Packard GmbH ,Unternehmen,70000.0,71034.0,0.5
R001939,IONOS Group SE,Unternehmen,70000.0,56410.0,0.2222222222222222
R001529,missio - Internationales Katholisches Missionswerk e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,52064.0,0.1578947368421052
R001770,AG Kino - Gilde,Berufsverband,70000.0,10789.0,0.5
R001603,Gauselmann AG,Unternehmen,70000.0,32339.0,0.15625
R000405,Open Knowledge Foundation Deutschland e. V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,10179.0,0.6666666666666666
R004264,Society for Worldwide Interbank Financial Telecommunication (SWIFT),Unternehmen,70000.0,,0.1666666666666666
R004679,Forum Bildung Digitalisierung e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",70000.0,10117.0,0.4285714285714285
R000950,Bundesverband Deutscher Versicherungsmakler e.V.,Berufsverband,70000.0,20459.0,0.2
R001927,DocMorris Holding GmbH,Unternehmen,70000.0,10117.0,0.3076923076923077
R000759,Corint Media GmbH,Unternehmen,70000.0,10785.0,0.2222222222222222
R001445,viagogo AG,Unternehmen,70000.0,,0.2222222222222222
R001940,Zur Rose Group AG,Unternehmen,70000.0,,0.1666666666666666
R004517,SMART Technologies Germany GmbH,Unternehmen,60000.0,50968.0,0.2941176470588235
R001178,RELX Deutschland GmbH,Unternehmen,60000.0,40219.0,0.2258064516129032
R002083,Marconi Group Management International Ltd.,Unternehmen,60000.0,,0.1875
R004531,PMeV - Professioneller Mobilfunk e. V.,Wirtschaftsverband oder Gewerbeverband/-verein,60000.0,10119.0,0.1666666666666666
R003968,Spotify Belgium NV,Unternehmen,50000.0,,0.2857142857142857
R003501,Ubisoft GmbH,Unternehmen,50000.0,40235.0,0.3333333333333333
R002357,Atlantik-Brücke e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",50000.0,10117.0,0.0
R000903,Customer Service & Call Center Verband Deutschland e. V. (CCV),Wirtschaftsverband oder Gewerbeverband/-verein,50000.0,10178.0,0.1923076923076923
R002093,VKE-Kosmetikverband,Wirtschaftsverband oder Gewerbeverband/-verein,50000.0,10117.0,0.2727272727272727
R005169,Xiaomi Technology Germany GmbH,Unternehmen,50000.0,40547.0,0.25
R001850,Bundesvereinigung Logistik (BVL) e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",50000.0,28195.0,0.15625
R003160,Lotto Rheinland-Pfalz GmbH ,Unternehmen,50000.0,56073.0,0.2307692307692307
R001441,Bundesverband der Unternehmensjuristen e.V.,Berufsverband,50000.0,10557.0,0.16
R003317,Kapsch TrafficCom AG,Unternehmen,50000.0,,0.2307692307692307
R002901,Qualcomm Communications SARL,Unternehmen,50000.0,,0.2
R000576,German Council of Shopping Places e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,50000.0,71638.0,0.1666666666666666
R003188,Freiwillige Selbstkontrolle Multimedia-Diensteanbieter (FSM e.V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",40000.0,10117.0,0.0
R000771,Giesecke+Devrient Mobile Security GmbH,Unternehmen,40000.0,81677.0,0.4545454545454545
R004315,GSMA,Wirtschaftsverband oder Gewerbeverband/-verein,40000.0,,0.1764705882352941
R003976,Arvato Systems GmbH,Unternehmen,40000.0,33333.0,0.1875
R000967,Arbeitsgemeinschaft Privater Rundfunk,Wirtschaftsverband oder Gewerbeverband/-verein,40000.0,80801.0,0.5
R000389,Verband Internet Reisevertrieb e. V. ,Wirtschaftsverband oder Gewerbeverband/-verein,40000.0,82008.0,0.1724137931034483
R002622,LOTTO Hessen,Unternehmen,40000.0,65189.0,0.2631578947368421
R001253,NVIDIA GmbH,Unternehmen,40000.0,10623.0,0.21875
R004141,Arvato Systems Digital GmbH,Unternehmen,40000.0,4109.0,0.1875
R002868,eHealth-Tec GmbH,Unternehmen,40000.0,10437.0,0.1666666666666666
R000129,Gesamtverband Kommunikationsagenturen GWA e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,40000.0,10405.0,0.2941176470588235
R002998,Power Plus Communications AG,Unternehmen,40000.0,68167.0,0.375
R003143,sofatutor GmbH,Unternehmen,40000.0,10245.0,0.2
R000197,VDAV-Verband deutscher Auskunfts- und Verzeichnismedien e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,30000.0,47877.0,0.3636363636363636
R005358,DIWIMA GmbH,Unternehmen,30000.0,48151.0,0.217391304347826
R002203,KI Bundesverband e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,30000.0,10117.0,0.5
R004001,BUTTER. GmbH,Unternehmen,30000.0,40217.0,0.5
R002788,CANCOM Public GmbH,Berufsverband,30000.0,13409.0,0.5
R002030,Verbraucherzentrale Nordrhein-Westfalen e. V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30000.0,40215.0,0.1764705882352941
R000819,Allianz für Sicherheit in der Wirtschaft e.V. - ASW Bundesverband,Wirtschaftsverband oder Gewerbeverband/-verein,30000.0,10779.0,0.1875
R001919,Verband Sichere Digitale Identität e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,30000.0,10969.0,0.2222222222222222
R000780,Die Wirtschaftsauskunfteien e. V.,Wirtschaftsverband oder Gewerbeverband/-verein,30000.0,65201.0,0.2
R004540,Penguin Random House Verlagsgruppe GmbH,Unternehmen,30000.0,81673.0,0.3333333333333333
R001787,Twitch UK Limited,Unternehmen,30000.0,,0.3333333333333333
R001661,NBC Universal International Ltd.,Unternehmen,30000.0,,0.2727272727272727
R002275,Verbraucherzentrale Sachsen e. V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30000.0,4109.0,0.2
R004477,VMware International Unlimited Company,Unternehmen,30000.0,,0.238095238095238
R001942,Zur Rose Pharma GmbH,Unternehmen,30000.0,6112.0,0.25
R002281,AMD,Unternehmen,30000.0,,0.1764705882352941
R004728,OVH GmbH,Unternehmen,30000.0,50670.0,0.1627906976744186
R002681,HAK Beratungs- und Vermögensgesellschaft mbH,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",30000.0,40221.0,0.3333333333333333
R001245,VOICE - Bundesverband der IT-Anwender e.V.,Berufsverband,30000.0,10115.0,0.6666666666666666
R003527,Freiwillige Selbstkontrolle Fernsehen (e.V.),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30000.0,10785.0,0.2
R000484,Gesellschaft für Informatik e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30000.0,10178.0,0.1627906976744186
R001208,Bündnis für Bildung e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",30000.0,10117.0,0.4
R004233,Börse Stuttgart GmbH,Unternehmen,30000.0,70174.0,0.1739130434782608
R001050,BMG Rights Management GmbH,Unternehmen,30000.0,10117.0,0.2
R003522,Airbnb Germany GmbH,Unternehmen,30000.0,10178.0,0.1739130434782608
R004004,Stiftung Digitale Chancen,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,10115.0,0.2666666666666666
R003035,Raisin GmbH,Unternehmen,20000.0,10997.0,0.1818181818181818
R001369,Uber Switzerland GmbH,Unternehmen,20000.0,,0.2105263157894736
R003251,Reed Exhibitions Deutschland GmbH,Unternehmen,20000.0,40219.0,0.1666666666666666
R001669,Next Data Service AG,Unternehmen,20000.0,10559.0,0.4
R002591,Toto-Lotto Niedersachsen GmbH,Unternehmen,20000.0,30519.0,0.2307692307692307
R000947,Deutscher Musikverleger-Verband e.V.,Berufsverband,20000.0,10623.0,0.1578947368421052
R001677,Verband Deutscher Bühnen- und Medienverlage e.V.,Berufsverband,20000.0,10623.0,0.2
R002641,Bundesverband der electronic cash - Netzbetreiber (BecN) e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,20000.0,60312.0,0.3333333333333333
R004170,govdigital eG,,20000.0,10117.0,0.5
R003134,Allianz für Sicherheit in der Wirtschaft Baden-Württemberg e.V. (ASW-BW),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,70372.0,0.1875
R003050,LEW TelNet GmbH,Unternehmen,20000.0,86356.0,0.75
R002138,Baker McKenzie Rechtsanwaltsgesellschaft mbH von  Rechtsanwälten und Steuerberatern,"Anwaltskanzlei, Einzelanwältin oder Einzelanwalt",20000.0,60311.0,0.2666666666666666
R001110,Deutsche Kautionskasse AG,Unternehmen,20000.0,82319.0,0.1764705882352941
R001755,Lechwerke AG,Unternehmen,20000.0,86150.0,0.2142857142857142
R003640,Bundesverband Internetmedizin e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,22767.0,0.25
R000716,Bayerischer Verband für Sicherheit in der Wirtschaft e. V. (BVSW),"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,80636.0,0.2
R005115,blackned GmbH,Unternehmen,20000.0,87751.0,0.3636363636363636
R004965,"Amadeus IT Group, SA",Unternehmen,20000.0,,0.2222222222222222
R001825,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",20000.0,,0.1944444444444444
R000913,,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",20000.0,,0.1555555555555555
R000532,Arbeitsgemeinschaft für wirtschaftliche Verwaltung - AWV e.V.,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,65760.0,0.1891891891891892
R001950,Comventure GmbH,Unternehmen,20000.0,68163.0,0.375
R005475,Bundesblock,"Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen)",20000.0,10117.0,0.2857142857142857
R000904,Verband deutscher Kreditplattformen e.V.,Wirtschaftsverband oder Gewerbeverband/-verein,20000.0,10719.0,0.1923076923076923
